id,label
2000001,0
2000002,0
2000003,0
2000004,0
2000005,0
2000006,1
2000007,0
2000008,0
2000009,0
2000010,0
2000011,0
2000012,0
2000013,0
2000014,0
2000015,0
2000016,0
2000017,0
2000018,0
2000019,0
2000020,0
2000021,0
2000022,0
2000023,0
2000024,0
2000025,0
2000026,0
2000027,0
2000028,0
2000029,0
2000030,0
2000031,0
2000032,0
2000033,0
2000034,0
2000035,0
2000036,0
2000037,0
2000038,1
2000039,0
2000040,0
2000041,0
2000042,0
2000043,0
2000044,0
2000045,0
2000046,0
2000047,0
2000048,0
2000049,0
2000050,0
2000051,0
2000052,0
2000053,0
2000054,0
2000055,0
2000056,0
2000057,0
2000058,0
2000059,0
2000060,0
2000061,0
2000062,0
2000063,0
2000064,0
2000065,0
2000066,0
2000067,0
2000068,0
2000069,0
2000070,0
2000071,0
2000072,0
2000073,0
2000074,0
2000075,0
2000076,0
2000077,0
2000078,0
2000079,0
2000080,0
2000081,0
2000082,0
2000083,0
2000084,0
2000085,0
2000086,0
2000087,0
2000088,0
2000089,0
2000090,0
2000091,0
2000092,0
2000093,0
2000094,0
2000095,0
2000096,0
2000097,0
2000098,0
2000099,0
2000100,0
2000101,0
2000102,0
2000103,0
2000104,0
2000105,0
2000106,0
2000107,0
2000108,0
2000109,0
2000110,0
2000111,0
2000112,0
2000113,0
2000114,0
2000115,0
2000116,0
2000117,0
2000118,0
2000119,0
2000120,0
2000121,0
2000122,0
2000123,0
2000124,0
2000125,0
2000126,0
2000127,0
2000128,0
2000129,0
2000130,0
2000131,0
2000132,0
2000133,0
2000134,0
2000135,0
2000136,0
2000137,0
2000138,0
2000139,0
2000140,0
2000141,0
2000142,0
2000143,0
2000144,0
2000145,0
2000146,0
2000147,0
2000148,0
2000149,0
2000150,0
2000151,0
2000152,0
2000153,0
2000154,0
2000155,0
2000156,0
2000157,0
2000158,0
2000159,0
2000160,0
2000161,0
2000162,0
2000163,0
2000164,0
2000165,0
2000166,0
2000167,0
2000168,0
2000169,0
2000170,0
2000171,0
2000172,0
2000173,0
2000174,0
2000175,0
2000176,0
2000177,0
2000178,0
2000179,0
2000180,0
2000181,0
2000182,0
2000183,0
2000184,0
2000185,0
2000186,0
2000187,0
2000188,0
2000189,0
2000190,0
2000191,0
2000192,0
2000193,0
2000194,0
2000195,0
2000196,0
2000197,0
2000198,0
2000199,0
2000200,0
2000201,0
2000202,0
2000203,0
2000204,0
2000205,0
2000206,0
2000207,0
2000208,0
2000209,0
2000210,0
2000211,0
2000212,0
2000213,0
2000214,0
2000215,0
2000216,0
2000217,0
2000218,0
2000219,0
2000220,0
2000221,0
2000222,0
2000223,0
2000224,0
2000225,0
2000226,0
2000227,0
2000228,0
2000229,0
2000230,0
2000231,0
2000232,0
2000233,0
2000234,0
2000235,0
2000236,0
2000237,0
2000238,0
2000239,0
2000240,0
2000241,0
2000242,0
2000243,0
2000244,0
2000245,0
2000246,0
2000247,0
2000248,0
2000249,0
2000250,0
2000251,0
2000252,0
2000253,0
2000254,0
2000255,0
2000256,0
2000257,0
2000258,0
2000259,0
2000260,0
2000261,0
2000262,0
2000263,0
2000264,0
2000265,0
2000266,0
2000267,0
2000268,0
2000269,0
2000270,0
2000271,0
2000272,0
2000273,0
2000274,0
2000275,0
2000276,0
2000277,0
2000278,0
2000279,0
2000280,0
2000281,0
2000282,0
2000283,0
2000284,0
2000285,0
2000286,0
2000287,0
2000288,0
2000289,0
2000290,0
2000291,0
2000292,0
2000293,0
2000294,0
2000295,0
2000296,0
2000297,0
2000298,0
2000299,0
2000300,0
2000301,0
2000302,0
2000303,0
2000304,0
2000305,0
2000306,0
2000307,0
2000308,0
2000309,0
2000310,0
2000311,0
2000312,0
2000313,0
2000314,0
2000315,0
2000316,0
2000317,0
2000318,0
2000319,0
2000320,0
2000321,0
2000322,0
2000323,0
2000324,0
2000325,0
2000326,0
2000327,0
2000328,0
2000329,0
2000330,0
2000331,0
2000332,0
2000333,0
2000334,0
2000335,0
2000336,0
2000337,0
2000338,0
2000339,0
2000340,0
2000341,0
2000342,0
2000343,0
2000344,0
2000345,0
2000346,0
2000347,0
2000348,0
2000349,0
2000350,0
2000351,0
2000352,0
2000353,0
2000354,0
2000355,0
2000356,0
2000357,0
2000358,0
2000359,0
2000360,0
2000361,0
2000362,0
2000363,0
2000364,0
2000365,0
2000366,0
2000367,0
2000368,0
2000369,0
2000370,0
2000371,0
2000372,0
2000373,0
2000374,0
2000375,0
2000376,0
2000377,0
2000378,0
2000379,0
2000380,0
2000381,0
2000382,0
2000383,0
2000384,0
2000385,0
2000386,0
2000387,0
2000388,0
2000389,0
2000390,0
2000391,0
2000392,0
2000393,0
2000394,0
2000395,0
2000396,0
2000397,0
2000398,0
2000399,0
2000400,0
2000401,0
2000402,0
2000403,0
2000404,0
2000405,0
2000406,0
2000407,0
2000408,0
2000409,0
2000410,0
2000411,0
2000412,0
